URI,Title,RecordId,ParentType URI,From Date,To Date,Authority,Deity,Dynasty,Denomination,Issuer,Manufacture,Material,Mint,Object Type,Portrait,Region,State,Symbol_obv,Symbol_obv_letter,Symbol_rev,Symbol_rev_letter,Obverse Legend,Obverse Type,Reverse Legend,Reverse Type,Reverse Officina Mark,Reverse Exergue,Date Record Modified
http://numismatics.org/ocre/id/ric.1(2).aug.1A,RIC I (second edition) Augustus 1A,ric.1(2).aug.1A,,-25,-23,Augustus,Victory,Julio-Claudian Dynasty,Quinarius,P. Carisius,Struck,Silver,Emerita,Coin,Augustus,Hispania Ulterior,Roman Empire,,,,,AVGVST,"Head of Augustus, bare, left",P CARISI LEG,"Victory standing right, placing wreath on trophy with dagger and sword at base",,,2025-12-19T06:39:46Z
http://numismatics.org/ocre/id/ric.1(2).aug.1B,RIC I (second edition) Augustus 1B,ric.1(2).aug.1B,,-25,-23,Augustus,Victory,Julio-Claudian Dynasty,Quinarius,P. Carisius,Struck,Silver,Emerita,Coin,Augustus,Hispania Ulterior,Roman Empire,,,,,AVGVST,"Head of Augustus, bare, left",P CARISI LEG,"Victory standing right, placing wreath on trophy with dagger and sword at base",,,2025-12-19T06:39:52Z
http://numismatics.org/ocre/id/ric.1(2).aug.2A,RIC I (second edition) Augustus 2A,ric.1(2).aug.2A,,-25,-23,Augustus,,Julio-Claudian Dynasty,Denarius,P. Carisius,Struck,Silver,Emerita,Coin,Augustus,Hispania Ulterior,Roman Empire,,,,,IMP CAESAR AVGVST,"Head of Augustus, bare, right",P CARISIVS LEG PRO PR,"Round shield, spear-head, and curved sword",,,2025-12-19T06:39:52Z
http://numismatics.org/ocre/id/ric.1(2).aug.2B,RIC I (second edition) Augustus 2B,ric.1(2).aug.2B,,-25,-23,Augustus,,Julio-Claudian Dynasty,Denarius,P. Carisius,Struck,Silver,Emerita,Coin,Augustus,Hispania Ulterior,Roman Empire,,,,,IMP CAESAR AVGVST,"Head of Augustus, bare, left",P CARISIVS LEG PRO PR,"Round shield, spear-head, and curved sword",,,2025-12-19T06:39:53Z
http://numismatics.org/ocre/id/ric.1(2).aug.3,RIC I (second edition) Augustus 3,ric.1(2).aug.3,,-25,-23,Augustus,,Julio-Claudian Dynasty,Denarius,P. Carisius,Struck,Silver,Emerita,Coin,Augustus,Hispania Ulterior,Roman Empire,,,,,IMP CAESAR AVGVSTVS,"Head of Augustus, bare, right",P CARISIVS LEG PRO PR,"Round shield, spear-head, and curved sword",,,2025-12-19T06:39:53Z
http://numismatics.org/ocre/id/ric.1(2).aug.4A,RIC I (second edition) Augustus 4A,ric.1(2).aug.4A,,-25,-23,Augustus,,Julio-Claudian Dynasty,Denarius,P. Carisius,Struck,Silver,Emerita,Coin,Augustus,Hispania Ulterior,Roman Empire,,,,,IMP CAESAR AVGVST,"Head of Augustus, bare, right",P CARISIVS LEG PRO PR,Trophy erected on mound of shields,,,2025-12-19T06:39:53Z
http://numismatics.org/ocre/id/ric.1(2).aug.4B,RIC I (second edition) Augustus 4B,ric.1(2).aug.4B,,-25,-23,Augustus,,Julio-Claudian Dynasty,Denarius,P. Carisius,Struck,Silver,Emerita,Coin,Augustus,Hispania Ulterior,Roman Empire,,,,,IMP CAESAR AVGVST,"Head of Augustus, bare, left",P CARISIVS LEG PRO PR,Trophy erected on mound of shields,,,2025-12-19T06:39:54Z
http://numismatics.org/ocre/id/ric.1(2).aug.5,RIC I (second edition) Augustus 5,ric.1(2).aug.5,,-25,-23,Augustus,,Julio-Claudian Dynasty,Denarius,P. Carisius,Struck,Silver,Emerita,Coin,Augustus,Hispania Ulterior,Roman Empire,,,,,IMP CAESAR AVGVSTV,"Head of Augustus, bare, right",P CARISIVS LEG PRO PR,Trophy erected on mound of shields,,,2025-12-19T06:39:54Z
http://numismatics.org/ocre/id/ric.1(2).aug.6,RIC I (second edition) Augustus 6,ric.1(2).aug.6,,-25,-23,Augustus,,Julio-Claudian Dynasty,Denarius,P. Carisius,Struck,Silver,Emerita,Coin,Augustus,Hispania Ulterior,Roman Empire,,,,,IMP CAESAR AVGVST,"Head of Augustus, bare, right",P CARISIVS LEG PRO PR,Trophy resting on head of kneeling captive,,,2025-12-19T06:39:54Z
http://numismatics.org/ocre/id/ric.1(2).aug.7A,RIC I (second edition) Augustus 7A,ric.1(2).aug.7A,,-25,-23,Augustus,,Julio-Claudian Dynasty,Denarius,P. Carisius,Struck,Silver,Emerita,Coin,Augustus,Hispania Ulterior,Roman Empire,,,,,IMP CAESAR AVGVST,"Head of Augustus, bare, right",P CARISIVS LEG PRO PR,Helmet with stag horns between dagger and bipennis,,,2025-12-19T06:39:54Z
