TABLE OF CONTENTS,,,
,,,
Sheet #:,Topic,Detail,Figure in Harper 2016
2,Wheat prices: 1-3C,table; chart of nominal prices 1-3C,Fig 2: Nominal Wheat Prices to 275
3,Wheat prices: 4C,table,
4,Wheat prices: 5-7C,table; chart of nominal prices 5-7C,Fig 4: Nominal Wheat Prices in Gold
5,Grams silver : hectoliter wheat,chart 1-7C,Fig 5: Price of Wheat (g silver per hl grain)
6,"Wheat prices: 4C, log scale","chart 4C nominal wheat prices in denarii, log scale","Fig 3: Nominal Wheat Prices, 300-370, log scale"
7,Silver prices 4C,table,
8,Land prices 1-7C,table,
9,Land prices 1-7C,charts: nominal price 1-3C; real price 1-3C; nominal price 5-6C,"Fig 6: Nominal Land Prices (1-7C)
Fig 7: Real Land Prices (1-7C)"
10,Wages: all data,"table covers 1-7C sorted by daily/monthly/annual, then year",
11,Wages: estate data,chart (averages of estate-based data),Fig 9: Nominal Daily Wages on Estates (1-3C)
12,Wages: 1-3C charts,charts: nominal wages to 170; nominal wages to 275; real wages to 275,Fig 8: Realy Daily Wage (1-7C)
13,"Wages: daily, 4-6C",table; chart of daily real wage rates 4-6C,
14,Wages: monthly/yearly 4-6C,chart,
15,Real Wages 1-7C all data,chart,
16,Rent data: all,"table; sorted by cash/kind/share, then year",
17,Money rents in late antiquity,chart,Fig 11: Nominal Cash Rents
18,Rents in kind: 1-7C,charts: rents in kind; 20-year moving average,"Fig 12: Rents in Kind (1-7C)
Fig 13: Rents in Kind 20-year moving average"
19,Egyptian population,"Total population, 1-641",Fig 1: Population of Roman Egypt
20,"Real wages, trimmed mean","chart: real wages 1-7C, 10:90 trimmed",
21,Rents and distance from Nile,"chart: 1C Arsinoite rents, distance from Nile","Fig 10: Real Wage, Annual Basis (1-7C)"
22,Index trends,chart: least-squares trends of all indices to Antonine Plague,
